,ground_truth,baseline,baseline_s42,baseline_s985,filt_freq_distro,filt_freq_distro_s42,filt_freq_distro_s985,filt_gen_sent,filt_gen_sent_s42,filt_gen_sent_s985,filt_tgt_ppl,filt_tgt_ppl_s42,filt_tgt_ppl_s985
144,0,0,0,0,0,0,1,1,1,1,0,3,1
145,3,0,0,0,1,2,1,1,1,1,1,1,1
146,1,0,1,0,2,2,3,2,2,2,3,3,1
147,3,1,0,0,2,2,4,1,1,1,2,2,2
148,1,2,2,3,1,2,2,4,2,3,5,3,1
149,1,0,0,0,0,0,1,3,1,1,1,0,1
150,2,0,0,0,2,2,2,2,1,2,1,2,2
151,1,1,1,1,2,1,2,2,2,2,2,2,3
152,3,2,2,2,2,3,2,2,3,3,2,2,2
153,2,2,2,2,2,3,4,1,1,2,2,3,3
154,3,0,0,0,0,0,0,0,0,0,2,0,0
155,1,0,0,0,2,2,2,2,3,2,1,2,2
156,0,0,0,1,2,2,2,1,1,3,2,3,3
157,0,0,0,1,0,0,1,1,1,1,1,1,2
158,1,0,0,0,0,2,0,0,2,0,1,1,1
159,0,0,0,0,2,2,1,1,1,2,0,2,1
160,2,0,0,0,2,3,1,3,2,2,2,2,1
161,2,0,0,0,1,2,0,2,3,2,2,2,2
162,2,1,1,1,2,2,2,3,2,1,3,2,2
163,1,0,0,1,4,2,2,1,2,2,1,2,2
164,0,0,0,0,2,2,0,2,1,2,2,2,1
165,2,1,1,4,1,3,3,1,2,1,3,1,2
166,3,0,0,0,2,0,1,2,2,2,2,0,1
167,1,0,0,1,0,0,1,0,2,3,0,0,1
168,6,0,0,0,2,4,3,2,4,3,1,1,4
169,0,1,3,1,2,1,2,1,1,1,1,1,1
170,4,0,2,1,1,2,3,2,2,2,4,1,0
171,0,1,1,1,1,4,2,2,2,2,2,1,3
172,0,1,1,1,0,1,1,2,3,1,0,0,0
173,2,2,3,2,2,1,2,1,3,2,1,1,1
174,1,2,0,2,2,2,1,2,2,2,0,0,1
175,1,1,1,1,1,1,2,1,2,3,0,1,2
176,1,3,3,3,1,2,2,2,2,0,1,5,1
177,4,0,1,0,1,1,1,1,3,1,2,2,2
178,2,1,1,1,1,3,5,2,2,2,1,2,1
179,0,0,0,0,3,1,1,2,2,1,1,2,2
180,2,1,2,2,2,1,1,2,2,2,3,1,2
181,1,3,1,1,2,3,1,2,1,2,2,0,1
182,2,2,2,3,3,2,2,2,2,3,3,2,3
183,4,3,3,4,5,3,4,2,3,4,4,3,3
184,4,2,1,0,4,4,4,3,3,3,2,1,1
185,2,0,0,0,1,1,2,2,4,1,0,0,1
186,7,1,1,1,1,1,1,3,1,2,1,1,1
187,3,4,4,3,1,1,3,2,2,3,2,3,2
188,0,0,0,0,2,2,3,1,2,1,2,3,2
189,2,0,0,0,1,3,0,0,0,0,1,2,2
190,0,0,0,0,1,2,1,1,1,1,0,1,0
191,4,0,0,0,0,0,0,1,2,1,2,0,0
192,1,1,1,1,0,2,3,0,0,0,2,1,1
193,3,3,1,3,1,1,1,5,3,2,2,2,2
194,7,1,1,1,2,1,3,3,3,3,3,2,2
195,4,4,0,0,3,3,5,3,3,3,2,2,2
196,1,2,2,2,2,3,2,2,3,3,1,1,2
197,1,1,1,2,3,3,1,0,1,1,1,3,1
198,3,2,2,1,3,2,3,1,1,3,4,3,3
199,2,1,1,1,2,1,3,3,3,3,1,2,3
200,0,0,0,0,1,1,0,1,2,1,1,1,1
201,4,0,0,0,3,2,2,2,2,1,2,3,2
202,5,0,5,5,5,4,2,2,3,4,1,2,2
203,6,1,1,1,1,2,1,0,0,1,1,1,0
204,0,0,0,0,1,2,3,1,1,5,2,2,2
205,1,1,1,1,1,4,2,2,4,2,1,1,1
206,2,3,2,2,3,1,1,4,2,4,2,0,0
207,1,1,1,1,3,3,3,4,3,4,0,4,3
208,2,1,1,1,2,2,2,2,2,2,2,2,2
209,1,1,1,1,1,2,1,1,1,2,1,1,1
210,0,1,0,1,1,3,1,3,3,2,2,1,2
211,1,2,2,2,1,3,1,2,2,2,2,2,2
212,0,1,0,0,0,3,1,2,2,2,1,1,1
213,2,0,1,0,1,1,1,1,1,1,1,1,1
214,0,0,0,0,2,0,3,0,0,0,1,1,0
215,2,0,0,0,3,4,2,3,2,1,2,2,2
216,3,2,2,2,2,2,3,2,0,3,2,2,2
217,1,0,0,1,5,5,0,2,2,2,2,2,3
218,1,1,1,1,1,1,1,1,0,1,2,1,2
219,1,1,2,1,5,2,4,2,2,2,3,0,3
220,3,0,0,0,3,3,2,2,1,2,1,1,1
221,1,0,1,0,2,0,2,0,3,0,1,1,1
222,0,0,0,0,1,0,0,0,0,0,0,0,0
223,0,1,2,0,5,1,5,2,2,2,2,2,1
224,3,3,2,3,1,1,1,3,0,3,2,2,2
225,3,0,1,1,1,1,1,1,0,2,0,1,1
226,2,1,1,1,3,0,2,2,3,1,2,1,1
227,3,0,0,0,1,1,0,0,0,0,2,0,0
228,4,0,0,0,3,1,1,1,0,0,1,0,0
229,0,0,0,0,2,0,0,1,1,0,2,1,1
230,1,2,3,2,1,2,1,1,2,0,1,2,2
231,1,1,1,0,2,3,2,1,1,1,1,1,2
232,2,1,2,1,5,3,3,3,4,4,3,2,3
233,2,0,1,1,1,2,2,2,3,2,1,1,1
234,3,2,0,0,1,3,2,4,1,3,2,0,3
235,5,0,0,0,1,2,1,1,1,1,1,3,0
236,2,0,0,0,1,1,1,0,2,1,1,1,2
237,4,0,0,0,2,4,1,1,0,0,3,3,1
238,0,0,0,0,0,2,1,0,0,1,0,1,0
239,3,0,0,0,1,0,2,1,1,1,1,0,1
240,0,0,0,0,2,3,2,2,1,2,2,2,2
241,3,1,1,2,1,1,1,1,2,1,2,0,1
242,4,4,4,4,4,4,4,2,7,3,3,3,2
243,1,0,1,1,3,2,2,3,2,2,2,2,3
244,0,0,0,2,4,1,1,0,3,0,2,3,3
245,3,0,0,0,1,1,1,1,1,1,1,1,1
246,3,2,2,2,2,3,3,2,2,2,1,1,2
247,0,1,1,2,2,1,1,2,2,1,2,1,1
248,2,0,0,0,2,2,2,1,1,1,2,2,2
249,2,0,0,2,4,2,4,2,2,2,1,2,3
250,1,2,2,2,2,2,2,1,2,2,1,2,2
251,2,1,1,1,3,2,2,2,2,2,2,1,1
252,4,2,2,2,3,3,4,1,2,1,4,2,2
253,2,0,0,0,2,2,3,3,2,2,0,2,2
254,0,0,0,0,1,2,1,3,3,2,3,1,2
255,2,2,1,1,3,2,4,3,5,7,1,2,1
256,1,0,0,1,0,2,2,3,3,3,0,3,3
257,2,0,0,0,0,0,0,1,0,0,0,0,1
258,2,0,2,3,1,1,1,2,2,2,2,2,2
259,2,1,1,3,3,2,2,1,0,1,2,1,2
260,3,0,0,0,2,0,1,1,3,1,1,1,1
261,3,1,3,4,2,1,2,1,2,1,1,1,1
262,1,1,4,2,3,0,1,1,3,3,3,3,3
263,2,1,1,1,2,1,2,3,2,2,1,2,4
264,6,0,0,0,1,1,1,2,6,3,1,1,1
265,2,3,2,2,2,2,2,0,1,0,2,1,1
266,0,1,0,1,2,1,1,1,1,1,1,0,1
267,1,1,1,1,1,2,1,3,2,3,2,2,4
268,3,2,2,2,4,2,3,2,3,3,4,3,4
